,Stacja,Rok,Miesiąc,Absolutna temperatura maksymalna [°C],Absolutna temperatura minimalna [°C],Średnia temperatura maksymalna [°C],Średnia temperatura minimalna [°C],Średnia temperatura miesięczna [°C],Miesieczna suma opadów [mm]
483,ŚNIEŻKA,1986,4,12.0,-14.8,3.1,-2.3,0.2,79.6
484,ŚNIEŻKA,1986,5,15.6,-2.2,9.4,3.4,6.0,121.6
485,ŚNIEŻKA,1986,6,19.4,-3.1,8.9,4.3,6.4,109.7
486,ŚNIEŻKA,1986,7,18.9,-0.8,10.5,5.5,7.8,112.5
487,ŚNIEŻKA,1986,8,20.0,0.2,10.9,6.2,8.2,187.8
488,ŚNIEŻKA,1986,9,12.6,-3.4,6.4,1.2,3.6,47.7
489,ŚNIEŻKA,1986,10,14.5,-5.6,5.2,-0.1,2.4,57.0
490,ŚNIEŻKA,1986,11,9.3,-9.0,2.5,-2.8,-0.4,23.2
491,ŚNIEŻKA,1986,12,6.7,-17.5,-3.0,-7.5,-5.5,119.1
492,ŚNIEŻKA,1987,1,1.4,-32.1,-8.2,-14.4,-11.2,135.5
493,ŚNIEŻKA,1987,2,2.0,-18.0,-2.9,-7.7,-5.3,37.5
494,ŚNIEŻKA,1987,3,2.0,-23.0,-8.1,-12.4,-10.2,53.6
495,ŚNIEŻKA,1987,4,9.7,-8.5,1.6,-2.9,-0.8,45.8
496,ŚNIEŻKA,1987,5,11.1,-5.9,4.6,-0.8,1.5,122.6
497,ŚNIEŻKA,1987,6,18.0,-1.7,8.1,3.7,5.7,74.9
498,ŚNIEŻKA,1987,7,19.8,-0.2,11.8,6.5,8.6,90.6
499,ŚNIEŻKA,1987,8,15.7,-0.7,9.0,4.1,6.2,94.5
500,ŚNIEŻKA,1987,9,16.4,-3.8,9.1,4.3,6.3,75.3
501,ŚNIEŻKA,1987,10,12.7,-7.3,3.9,-0.4,1.5,45.4
502,ŚNIEŻKA,1987,11,5.8,-7.1,-0.9,-4.2,-2.6,70.8
503,ŚNIEŻKA,1987,12,4.4,-17.3,-1.6,-6.6,-4.2,44.1
504,ŚNIEŻKA,1988,1,4.2,-10.3,-0.9,-5.4,-3.5,48.6
505,ŚNIEŻKA,1988,2,2.0,-15.6,-4.7,-8.5,-6.9,179.9
506,ŚNIEŻKA,1988,3,-1.0,-13.9,-5.3,-9.0,-7.3,146.8
507,ŚNIEŻKA,1988,4,9.6,-12.7,1.3,-4.0,-1.6,35.8
508,ŚNIEŻKA,1988,5,11.6,-4.8,7.4,2.7,4.7,54.7
509,ŚNIEŻKA,1988,6,16.1,0.1,8.7,4.4,6.2,127.3
510,ŚNIEŻKA,1988,7,22.3,3.3,12.6,6.6,9.0,102.2
511,ŚNIEŻKA,1988,8,18.5,0.4,11.6,6.3,8.7,78.0
512,ŚNIEŻKA,1988,9,12.8,-0.6,7.1,3.1,4.9,124.8
513,ŚNIEŻKA,1988,10,15.6,-12.0,5.2,-0.1,2.3,20.1
514,ŚNIEŻKA,1988,11,6.5,-15.9,-2.6,-7.7,-5.2,116.2
515,ŚNIEŻKA,1988,12,2.7,-14.2,-2.9,-7.7,-5.4,213.9
516,ŚNIEŻKA,1989,1,8.0,-9.9,1.4,-4.6,-1.8,28.0
517,ŚNIEŻKA,1989,2,6.8,-11.0,0.3,-4.5,-2.3,56.3
518,ŚNIEŻKA,1989,3,8.4,-9.2,0.7,-4.4,-1.9,52.5
519,ŚNIEŻKA,1989,4,10.8,-12.8,2.9,-2.8,-0.2,137.8
520,ŚNIEŻKA,1989,5,13.1,-6.0,6.9,1.8,3.9,85.7
521,ŚNIEŻKA,1989,6,16.8,-1.0,8.4,3.6,5.6,147.2
522,ŚNIEŻKA,1989,7,18.7,-1.5,10.8,6.3,8.2,138.1
523,ŚNIEŻKA,1989,8,20.1,0.2,11.3,6.5,8.6,88.4
524,ŚNIEŻKA,1989,9,16.2,-0.9,8.8,5.0,6.7,116.3
525,ŚNIEŻKA,1989,10,14.7,-5.1,5.5,0.7,2.8,48.8
526,ŚNIEŻKA,1989,11,8.8,-16.6,0.0,-5.4,-3.0,73.2
527,ŚNIEŻKA,1989,12,7.8,-15.0,-0.4,-5.6,-2.9,46.2
